"part_num","name","part_cat_id"
"0687b1","Set 0687 Activity Booklet 1",17
"0901","Baseplate 16 x 30 with Set 080 Yellow House Print",1
"0902","Baseplate 16 x 24 with Set 080 Small White House Print",1
"0903","Baseplate 16 x 24 with Set 080 Red House Print",1
"0904","Baseplate 16 x 24 with Set 080 Large White House Print",1
"1","Homemaker Bookcase 2 x 4 x 4",7
"10","Baseplate 24 x 32",1
"10000","Duplo Animal Brick 2 x 2 Elephant Head",4
"10016414","Sticker Sheet #1 for 41055-1",58
"10019stk01","Sticker for Set 10019 - (43274/4170393)",58
"10026stk01","Sticker for Set 10026 - (44942/4184185)",58
"10029stk01","Sticker for Set 10029 - (4216816)",58
"10036stk01","Sticker for Set 10036 - (821407)",58
"10039","Pullback Motor 8 x 4 x 2/3",44
"10048","Minifig Hair Tousled",65
"10049","Minifig Shield Broad with Spiked Bottom and Cutout Corner",27
"10049pr0001","Minifig Shield Broad with Spiked Bottom and Cutout Corner with Handprint Print",27
"10050","Weapon Sword (Uruk-hai)",27
"10051","Minifig Helmet Castle with Lateral Comb [Uruk-hai]",65
"10051pr01","Minifig Helmet Castle with Lateral Comb and Handprint Print",65
"10052","Minifig Neckwear Beard, Rounded End [Gandalf]",27
"10053","Weapon Sword Small",27
"10054","Minifig Helmet with Cheek Protection and Horsehead Comb (Rohan Style)",65
"10054pr0001","Minifig Helmet with Cheek Protection and Horsehead Comb (Rohan Style) with Eomer Print",65
"10054pr0002","Minifig Helmet with Cheek Protection and Horsehead Comb (Rohan Style) with Theoden Print",65
"10055pr0001","Minifig Hair Long Straight with Light Flesh Elf Ears Print",65
"10056","Minifig Helmet Castle with Cheek Protection [Plain]",24
"10056pr0001","Minifig Helmet with Cheek Protection and Dark Red Ornaments Print",65
"10057","Body / Head Gollum",13
"10057pr0001","Body / Head Gollum - Wide Eyes",13
"10057pr0002","Body / Head Gollum - Narrow Eyes",13
"10058","Arm, Bent [Gollum]",60
"10061","Arm Goblin King, Left",60
"10062","Hand Cave Troll, Left",60
"10063","Arm Goblin King, Right",60
"10064","Hand Cave Troll, Right",60
"10065","Minifig Neckwear Beard, Full with Braided Moustache Ends",27
"10066","Minifig Hair Orc [Plain]",24
"10066pr0001","Minifig Hair Orc with Dark Tan Ears Print",65
"10066pr0002","Minifig Hair Orc with Olive Green Ears Print",65
"10066pr0003","Minifig Hair Orc with Medium Dark Flesh Ears Print",65
"10075cdb01","Paper, Cardboard Backdrop for Set 10075 Spider-Man Action Pack",17
"100954456","Sticker Sheet for Set 3184-1 (10095456/4620856)",58
"10095457","Sticker Sheet for Set 3186-1  (10095457/4620857)",58
"10099434","Sticker Sheet for Set 3063-1  (10099434/4650853)",58
"10111apr0006","Duplo Figure with Headset and Cap Yellow, and Fireman Overalls Print",57
"10111pr0001","Duplo Figure with Headset and Cap Black, with Dark Blue Legs, Badge Print, Black Arms, Light Flesh Hands (Police)",57
"10111pr0002","Duplo Figure with Headset and Cap Yellow, with Dark Blue Arms, and Legs, Yellow Knee Pads Print, and Yellow Vest with ID Badge and Radio Print",57
"10111pr0005c01","Duplo Figure with Headset and Cap Yellow, with Brown Vest with Zippers over Black Shirt, and Blue Legs",57
"10111pr0005c02","Duplo Figure with Headset and Cap Black, with Reddish Brown Top with ID Badge Print, Light Flesh Face and Hands, and Blue Legs",57
"10111pr0007","Duplo Figure with Headset and Cap Yellow, with White Race Suit with Red Sleeves and Octan Logo Print, Light Flesh Face and Hands, and White Legs",57
"10111pr0033","Duplo Figure with Headset and Cap Yellow, with Orange Vest over Green Shirt with Red Sleeves, Light Flesh Face and Hands, and Blue Legs",57
"10111pr0075","Duplo Figure with Headset and Cap Yellow, with Medium Azure Arms, Yellow Vest with Orange Stripes, and Black Legs",57
"10113","Minifig Mask Batman Cowl",65
"10113pr0001","Minifig Mask Batman Cowl with Silver Bat Mask Around Eyes Print",65
"10113pr0002","Minifig Mask Batman Cowl with Black Stitched Seams Print",65
